idrequerimiento,complejidad,prioridad,tipo_tarea,duracion
1081,2,2,backend,9.7
3869,4,1,database,18.9
3173,1,1,database,10.2
4648,4,1,deployment,3.5
4691,1,3,database,8.1
3229,2,3,frontend,6.0
1587,2,1,frontend,8.2
4949,4,1,database,19.3
67,1,1,frontend,6.0
206,1,3,deployment,1.6
2757,4,3,deployment,3.3
3486,4,1,frontend,11.0
3492,4,2,database,17.6
1756,5,2,database,20.0
3068,1,3,database,7.6
3497,5,1,testing,8.6
4708,4,2,deployment,3.3
1633,5,2,database,20.0
1104,4,3,testing,6.1
3116,1,2,database,9.0
2824,5,1,database,22.5
2266,5,1,database,22.5
1074,4,1,testing,7.3
4038,2,1,deployment,2.2
1967,4,1,testing,7.3
1304,4,3,deployment,3.5
3490,2,3,backend,8.7
1941,2,1,frontend,7.9
4145,3,3,backend,10.1
4322,2,3,deployment,2.4
415,1,3,testing,3.4
4961,1,2,deployment,1.9
2752,3,1,database,15.6
4077,2,1,testing,5.1
1049,2,2,frontend,7.0
1340,3,2,deployment,2.8
2196,2,1,deployment,2.6
156,4,3,testing,6.3
1735,1,1,backend,8.4
3244,2,3,frontend,6.0
4928,4,1,testing,7.5
907,3,3,testing,4.7
4243,5,3,deployment,3.0
2222,3,3,deployment,2.1
4045,5,2,backend,16.3
1997,1,2,deployment,1.8
2886,4,1,deployment,3.6
1603,4,3,testing,5.7
3965,3,2,deployment,2.7
1634,4,3,testing,6.1
3075,1,1,database,10.1
3155,3,2,frontend,8.8
2232,3,2,backend,11.7
1722,5,3,backend,13.6
689,2,1,backend,10.2
1213,5,1,frontend,13.0
492,3,3,backend,10.6
1065,2,2,database,11.2
1685,4,2,testing,7.2
830,4,3,deployment,2.7
660,3,1,database,16.0
50,1,1,database,9.6
3624,2,3,deployment,2.3
1024,2,3,testing,4.2
1242,2,2,deployment,2.8
4693,1,1,deployment,2.4
4188,3,3,backend,10.5
1390,1,3,backend,6.6
4603,1,3,database,7.7
1867,3,1,frontend,10.0
2133,1,3,testing,3.6
4208,3,2,deployment,3.3
52,3,2,backend,11.1
3982,5,1,frontend,13.0
2158,1,1,backend,8.1
3686,4,2,frontend,10.1
1784,1,1,database,10.4
3151,2,2,frontend,6.7
3965,1,1,backend,8.4
270,3,2,backend,11.9
1812,2,1,frontend,8.1
1994,5,3,testing,7.5
4282,1,3,frontend,4.7
1859,1,2,database,9.5
4325,4,1,frontend,11.0
682,5,2,backend,16.3
1631,2,3,testing,4.6
1922,2,3,deployment,1.7
792,1,3,deployment,2.1
1517,1,1,backend,8.2
2470,1,1,testing,4.3
315,3,1,deployment,3.4
2395,5,3,database,17.7
3052,2,1,frontend,8.1
4503,2,2,testing,5.1
3608,1,3,database,7.8
1539,4,1,testing,7.9
1814,4,2,backend,14.0
3813,3,2,deployment,2.5
477,4,3,database,15.0
168,3,1,testing,6.3
1519,2,3,backend,7.9
4783,1,1,database,9.8
791,4,1,deployment,3.6
1533,3,3,database,12.4
2689,3,2,deployment,3.2
162,5,3,testing,7.4
1868,3,1,database,15.8
1830,2,2,testing,4.8
1129,3,2,testing,5.6
4480,3,1,deployment,3.2
4160,2,2,frontend,6.8
11,1,3,frontend,4.9
4855,1,1,backend,8.3
2043,5,3,database,18.0
2292,1,3,backend,6.8
2380,2,1,backend,10.1
2373,2,1,deployment,2.3
455,3,2,database,14.8
2107,2,1,deployment,2.6
1795,1,3,database,8.3
3168,4,1,deployment,3.7
4777,4,1,backend,15.1
3981,2,3,testing,4.5
3514,3,2,backend,11.0
3017,4,2,backend,13.3
3774,3,3,deployment,2.8
3333,3,3,database,12.6
1847,5,3,frontend,10.8
2261,2,1,backend,10.5
578,1,3,deployment,1.1
3,5,2,backend,16.3
1768,1,1,database,9.9
3702,5,2,database,19.5
2029,3,3,testing,5.1
529,5,1,database,21.8
3408,3,3,database,12.3
4349,4,2,frontend,10.4
2558,3,1,deployment,3.1
3981,3,2,backend,11.9
2983,3,1,database,16.4
1474,4,1,database,18.6
1671,1,3,database,8.1
1679,4,2,deployment,3.2
1465,4,2,database,17.0
2185,5,3,testing,6.6
2063,1,2,frontend,5.2
1728,3,1,backend,13.1
1132,2,3,backend,8.3
544,1,1,deployment,1.7
628,5,1,deployment,4.5
334,1,3,testing,2.7
1782,5,2,backend,15.4
1495,1,2,backend,6.9
3227,1,2,testing,3.5
4498,4,2,testing,7.2
3289,3,2,frontend,8.6
4250,1,2,backend,6.9
2807,3,2,backend,12.0
2905,4,1,deployment,3.4
2012,1,3,frontend,4.7
3970,3,3,deployment,2.8
3798,1,3,frontend,5.0
3318,3,3,deployment,2.6
3341,2,1,backend,10.9
3395,4,3,database,15.1
4796,1,2,deployment,2.2
3588,5,3,database,17.7
3177,1,2,backend,7.7
4550,4,2,deployment,2.9
150,4,3,testing,5.7
25,2,1,backend,10.4
3449,2,3,deployment,1.9
2346,4,2,frontend,10.2
1612,4,2,frontend,10.6
4184,5,2,backend,16.3
2126,3,2,database,14.0
1079,5,1,frontend,13.2
613,3,3,frontend,7.6
3709,5,3,testing,6.6
4662,3,1,frontend,10.1
4050,1,2,backend,7.4
270,1,2,database,9.5
2636,1,2,testing,3.3
3299,2,1,frontend,7.8
3812,3,3,backend,9.9
4851,1,3,backend,6.7
461,5,2,testing,7.8
1548,5,3,database,17.7
2444,4,1,database,19.0
1298,2,3,frontend,6.0
1336,3,3,database,12.4
2486,1,2,testing,3.7
4674,3,3,database,13.0
592,5,3,testing,6.6
359,2,2,frontend,7.1
3701,1,2,backend,7.0
3799,5,2,database,19.6
122,2,2,deployment,1.9
3471,5,2,deployment,3.8
647,4,3,testing,6.2
1884,2,3,deployment,1.8
395,4,2,database,17.2
2001,3,3,backend,10.6
2088,4,2,testing,7.0
596,2,2,frontend,6.9
1961,1,2,database,8.6
1065,5,3,frontend,10.3
2358,4,1,database,18.6
2782,4,1,database,19.5
670,4,2,backend,13.3
2099,5,2,testing,7.9
1558,5,2,frontend,12.3
686,4,2,testing,7.3
2859,5,3,deployment,3.7
3460,3,1,database,16.3
2450,4,2,frontend,9.9
14,4,2,deployment,3.7
3527,4,3,testing,5.7
686,1,3,testing,3.5
3831,2,1,backend,10.5
2153,5,3,database,17.2
4327,4,3,database,15.3
2704,3,2,deployment,3.1
3682,4,1,frontend,11.5
4818,4,1,frontend,11.1
3655,4,3,frontend,8.7
483,5,2,backend,16.1
3348,1,3,database,7.8
2220,1,1,database,9.8
975,2,1,deployment,2.9
2754,2,2,database,11.6
767,3,3,frontend,7.7
4812,1,1,frontend,5.9
1424,1,1,testing,4.5
2495,3,3,frontend,7.4
4055,4,2,backend,13.9
772,2,1,database,13.0
4892,5,3,testing,7.0
1394,3,3,frontend,7.9
1568,3,1,frontend,9.9
3375,1,1,deployment,1.9
1256,1,3,backend,6.3
2421,2,3,backend,8.4
4389,2,3,backend,8.4
1191,1,1,deployment,1.7
1642,5,1,testing,9.2
2956,3,1,backend,12.5
2273,3,2,testing,5.6
4558,2,1,backend,10.4
3154,5,1,backend,17.6
4048,3,2,frontend,8.6
3471,5,1,testing,8.3
3860,5,3,backend,13.9
3867,4,1,database,19.3
2195,2,2,backend,9.7
3694,3,3,frontend,8.1
1509,2,1,deployment,2.7
533,3,3,testing,4.8
2484,5,1,frontend,12.9
1704,2,3,testing,4.3
4108,5,3,testing,7.0
683,2,2,backend,9.4
4342,3,2,backend,11.7
2314,5,2,backend,15.5
2669,4,1,deployment,3.6
3737,5,2,frontend,11.5
89,2,3,backend,8.1
3969,1,2,backend,7.1
3064,3,2,testing,5.4
1782,4,3,database,15.2
4030,1,2,deployment,1.9
698,3,3,frontend,7.3
3288,3,1,frontend,9.5
325,4,1,testing,8.1
4365,5,3,frontend,10.2
4662,5,1,testing,8.5
2163,5,1,frontend,13.3
1339,4,3,deployment,3.3
1766,1,2,testing,3.6
4078,1,2,deployment,2.2
4333,2,1,deployment,2.4
4412,4,3,frontend,9.3
3519,4,3,testing,5.9
4621,3,2,frontend,8.4
4964,1,3,deployment,1.5
4769,1,3,backend,6.0
283,4,2,database,17.0
1113,4,2,database,17.0
4722,4,3,backend,12.1
4096,4,2,backend,13.2
1344,2,1,testing,4.9
3917,3,1,backend,12.5
3637,1,2,frontend,5.9
1496,1,1,deployment,2.0
3816,4,1,backend,15.3
4474,5,3,frontend,10.8
4140,4,3,frontend,9.5
1353,3,3,deployment,2.4
4511,3,2,deployment,3.3
3437,3,3,deployment,2.7
862,2,2,backend,9.5
401,4,1,frontend,11.8
350,4,1,frontend,11.2
722,4,2,testing,6.6
85,2,3,testing,4.5
1075,3,1,deployment,3.2
912,2,2,testing,4.8
4827,2,3,testing,4.3
3325,5,2,frontend,11.4
3386,5,3,deployment,3.5
4407,1,2,backend,7.4
3751,5,2,deployment,3.6
1996,3,3,deployment,2.1
1590,5,2,database,19.9
2746,4,3,testing,6.6
4099,4,1,backend,14.8
4195,3,1,testing,6.8
4986,2,2,testing,4.4
3034,1,2,backend,7.5
3250,5,3,database,18.0
694,4,3,backend,11.8
509,4,3,backend,12.0
2276,5,3,backend,14.4
1398,2,1,frontend,7.9
2005,2,1,deployment,2.3
4864,2,3,testing,4.3
924,5,3,backend,13.9
211,2,1,deployment,2.2
2268,5,3,database,17.8
4135,3,2,backend,11.6
4675,5,3,testing,7.1
2363,2,3,testing,4.3
4206,3,2,backend,11.5
1926,3,3,testing,5.0
1264,5,2,frontend,12.3
3641,2,1,database,12.6
3751,1,2,deployment,1.9
2721,4,3,frontend,9.3
3396,4,2,backend,14.1
354,5,1,database,21.9
1566,3,1,frontend,9.6
2465,3,3,frontend,7.6
3382,4,1,backend,15.0
4383,2,1,backend,10.8
2379,4,1,frontend,11.1
4880,5,1,frontend,13.2
429,4,3,frontend,9.5
3025,3,2,testing,5.6
35,5,1,backend,18.1
302,2,3,testing,4.3
1133,3,3,database,12.9
367,4,2,deployment,3.4
481,2,3,deployment,1.6
894,1,2,testing,3.4
2168,3,2,backend,11.8
2952,3,1,backend,13.2
3172,3,3,testing,5.1
793,3,1,frontend,9.6
2676,5,3,frontend,10.2
2079,4,2,backend,14.1
2236,4,3,testing,6.3
3504,3,2,testing,5.7
4061,5,2,backend,16.1
1415,1,3,backend,6.4
1884,1,3,frontend,4.8
4386,4,2,deployment,3.5
2842,2,1,deployment,2.5
4029,4,1,frontend,10.9
1478,5,2,backend,16.1
4938,5,3,database,17.5
3638,3,1,deployment,3.0
2972,1,1,database,10.2
1455,4,2,deployment,3.6
134,3,3,deployment,2.2
2896,1,2,testing,3.2
1433,4,2,deployment,3.7
951,3,3,frontend,7.6
2513,2,3,database,10.4
3,3,1,database,15.5
2208,4,3,backend,12.3
1861,2,1,backend,10.6
2541,5,1,frontend,13.0
2137,2,2,deployment,2.0
1135,5,1,deployment,4.5
1384,5,1,deployment,4.6
2603,1,1,backend,7.7
4537,2,1,database,13.0
3512,3,1,deployment,3.4
3268,4,1,frontend,11.3
3485,5,1,frontend,13.6
146,1,3,database,7.7
4780,5,2,frontend,12.1
3303,5,1,frontend,13.4
227,2,3,deployment,2.0
1431,4,3,database,15.1
4363,4,2,deployment,3.1
2590,5,2,deployment,3.7
4025,4,1,frontend,11.9
3167,2,2,database,12.2
8,2,3,frontend,6.6
3500,5,3,backend,14.4
1145,1,2,backend,6.7
3287,5,1,frontend,13.7
3485,4,3,frontend,9.2
4494,3,3,database,13.1
4734,5,2,frontend,11.6
2478,1,1,testing,4.3
2839,1,3,database,7.8
4740,4,1,frontend,11.5
3395,5,3,testing,7.5
1541,1,3,database,8.2
4727,2,3,backend,8.0
100,1,3,deployment,1.1
968,2,2,backend,9.7
1815,1,1,deployment,1.8
3164,1,1,backend,8.1
944,1,2,testing,3.5
4311,5,2,deployment,3.7
3401,5,1,backend,17.9
4258,2,2,testing,4.4
2944,4,2,deployment,3.0
353,1,3,database,8.1
2714,1,1,database,10.1
2690,4,2,deployment,2.9
3216,2,3,backend,8.4
72,5,2,frontend,11.7
4207,2,2,database,11.2
4455,5,3,deployment,3.9
2837,1,2,backend,6.8
1261,1,1,frontend,6.2
4131,2,1,backend,9.9
999,5,3,deployment,3.3
2737,1,1,deployment,2.4
2136,4,3,testing,6.0
579,5,3,testing,7.2
1300,4,1,deployment,3.3
466,2,3,database,10.3
4561,4,1,frontend,11.1
939,4,2,deployment,3.2
4036,5,2,deployment,4.4
3304,5,3,testing,6.7
1893,3,1,database,15.9
1070,3,1,database,15.8
4516,1,1,deployment,2.0
1006,2,3,frontend,5.8
2138,4,1,testing,7.7
1484,3,1,backend,12.8
2681,2,3,deployment,1.8
2563,3,3,frontend,7.3
1860,3,3,backend,9.8
745,4,3,deployment,2.8
1155,5,1,testing,8.3
4335,5,2,testing,8.1
4285,1,1,database,9.8
4910,3,3,deployment,2.2
1527,4,2,frontend,10.1
3110,2,2,deployment,2.1
1712,1,2,database,9.1
3901,1,2,deployment,1.7
2145,5,2,backend,15.4
958,4,1,deployment,3.4
332,3,3,backend,10.2
3731,4,1,backend,15.2
4418,3,2,deployment,3.1
4313,3,2,database,14.8
4949,3,2,testing,5.4
2052,5,3,backend,14.3
3377,4,2,backend,13.6
618,3,2,testing,5.9
1647,3,3,backend,10.3
4294,5,1,backend,17.5
1432,4,3,deployment,3.2
3205,4,2,testing,6.4
3318,4,2,frontend,10.2
1292,1,1,database,9.8
2602,2,2,deployment,2.1
4482,3,1,deployment,3.0
563,1,1,testing,4.4
1827,4,1,testing,8.0
4267,2,3,backend,8.7
3277,3,3,deployment,2.8
3397,1,1,database,9.9
1005,1,1,frontend,6.3
4000,4,2,deployment,3.9
4099,3,3,testing,4.7
1037,4,3,frontend,9.5
4410,4,3,deployment,2.8
2050,3,2,frontend,9.0
4098,2,3,frontend,5.9
2125,5,2,deployment,4.1
1363,5,3,database,18.0
1660,5,2,frontend,11.9
3681,4,2,database,17.5
2420,4,1,deployment,3.4
3791,2,1,frontend,8.1
3798,3,3,deployment,2.3
2716,3,1,deployment,2.8
531,5,1,frontend,13.5
4431,1,3,deployment,2.0
4676,1,2,frontend,5.9
1613,3,3,backend,9.9
4989,1,1,deployment,1.5
3862,1,3,frontend,4.3
497,1,3,database,8.2
2181,1,3,testing,3.2
4101,2,2,testing,4.7
4815,1,1,testing,4.0
1065,2,1,backend,10.0
3670,3,3,backend,10.1
1200,2,3,deployment,2.3
3508,2,3,testing,4.3
2567,4,2,testing,7.2
4357,3,2,testing,6.2
4221,3,2,deployment,2.6
535,1,2,frontend,5.2
1723,1,3,frontend,4.5
3096,4,3,backend,12.5
1164,3,3,testing,5.0
2632,2,2,backend,9.4
4152,1,2,deployment,2.1
2989,5,2,deployment,4.3
1967,3,1,frontend,9.9
2053,1,3,backend,6.8
4905,1,3,database,7.5
154,2,2,frontend,7.2
3160,4,1,database,19.3
1477,2,1,deployment,2.9
1658,4,1,frontend,11.1
2271,1,2,deployment,2.1
3672,4,1,backend,15.7
621,1,2,database,8.7
1758,4,2,database,17.0
4782,5,1,testing,8.8
2779,5,2,deployment,3.5
2944,4,3,database,15.5
994,5,3,testing,7.3
1820,3,1,database,16.1
323,2,3,database,10.8
4218,5,3,database,17.9
737,1,3,frontend,4.3
2023,5,2,database,20.3
3914,3,2,testing,5.7
999,5,2,backend,15.6
2995,1,3,database,8.2
3830,2,3,backend,8.4
3419,2,1,backend,10.0
3271,5,3,database,17.6
619,3,3,frontend,7.4
898,5,2,deployment,4.2
1236,5,1,database,22.4
4430,3,1,frontend,9.9
4784,5,2,deployment,3.9
4977,5,2,backend,15.8
2302,2,3,frontend,6.1
699,1,3,testing,3.1
2231,4,1,frontend,11.5
4220,5,2,database,20.1
2364,4,3,frontend,9.4
4520,2,3,frontend,6.3
1540,4,1,testing,8.0
2143,1,3,database,8.4
1579,4,1,deployment,3.4
147,3,1,frontend,9.2
3643,4,1,backend,15.0
1713,2,3,backend,7.9
1051,2,3,database,10.4
4002,1,2,database,8.9
4036,4,1,frontend,11.8
3704,5,2,deployment,4.2
3622,3,1,backend,12.5
4941,1,3,testing,3.6
821,1,1,deployment,2.2
1403,2,1,frontend,7.5
1279,5,3,testing,7.4
1190,3,3,frontend,7.8
4654,1,2,deployment,1.5
3140,5,2,database,20.3
3261,4,2,deployment,3.7
3866,5,3,backend,13.9
2135,3,3,deployment,2.4
2154,4,2,frontend,10.6
1782,2,1,testing,5.2
2044,1,2,deployment,1.7
2934,3,2,testing,5.4
708,1,2,deployment,2.2
4443,3,1,frontend,9.3
2002,5,1,backend,17.3
2434,5,3,deployment,3.5
4418,3,1,frontend,10.0
3620,2,1,testing,5.7
3241,4,1,frontend,11.1
4893,2,3,backend,7.8
3830,3,3,testing,5.0
1354,3,3,frontend,7.6
3178,5,2,backend,15.7
474,2,3,deployment,2.2
1634,4,2,backend,14.1
3949,1,1,database,9.8
2545,5,2,frontend,11.4
1487,2,1,backend,10.6
3076,3,1,database,16.0
4187,5,1,database,22.3
4697,1,3,deployment,1.8
708,2,3,testing,4.5
1846,5,3,frontend,10.7
4868,1,2,backend,6.9
1993,5,1,database,22.2
786,1,1,database,9.7
1632,2,3,testing,4.1
4478,2,1,database,12.7
114,2,3,frontend,6.7
4719,3,3,frontend,7.4
4792,2,2,deployment,2.2
2193,5,1,database,21.9
4447,4,3,database,15.3
3376,4,1,frontend,11.7
4195,2,3,frontend,5.8
4488,3,3,frontend,7.7
2467,1,3,backend,6.0
4783,3,3,backend,10.6
4426,2,2,deployment,2.8
4938,4,1,database,18.6
1069,5,3,deployment,3.4
1323,1,1,testing,3.6
3650,3,1,testing,6.1
2114,3,1,frontend,9.8
2883,1,3,deployment,1.6
1937,2,2,backend,9.1
1464,2,3,testing,4.5
2614,2,2,backend,9.2
2320,3,3,backend,10.2
1709,3,2,testing,6.2
3749,2,2,testing,4.3
1371,2,3,database,10.2
1638,5,2,database,19.8
1711,1,1,database,9.8
818,5,1,backend,17.5
1503,1,3,frontend,5.0
4848,2,1,frontend,7.9
492,4,1,backend,15.1
923,5,1,database,22.5
1799,3,2,database,14.0
542,2,1,backend,10.6
2009,1,3,database,8.4
3143,3,1,frontend,9.2
2934,1,3,database,7.5
3840,2,3,testing,4.6
3679,3,1,deployment,2.9
772,3,1,backend,13.1
18,4,3,deployment,3.3
2627,4,1,database,18.7
1012,5,3,frontend,11.0
4056,5,3,frontend,10.7
40,2,3,testing,3.8
4080,2,2,testing,5.0
100,3,2,backend,11.7
337,1,3,backend,6.7
3384,2,2,database,11.3
3547,2,3,backend,8.5
2250,3,3,backend,9.9
2261,5,3,deployment,4.0
3385,4,1,database,19.0
2135,2,1,backend,10.2
1476,4,3,deployment,3.3
2948,2,3,frontend,6.6
1702,4,1,frontend,11.9
3026,4,3,frontend,9.0
452,2,2,deployment,2.7
2058,3,2,backend,11.8
4907,1,3,frontend,4.5
1397,5,2,testing,8.1
3044,3,2,backend,11.7
138,4,2,database,16.7
3221,5,2,testing,7.6
2558,5,2,frontend,11.8
2187,4,3,backend,11.8
1464,5,3,backend,13.8
2804,1,1,database,9.9
2296,3,2,testing,6.2
4671,3,1,deployment,3.3
3552,2,1,testing,5.5
728,2,2,frontend,6.9
2483,2,1,deployment,3.0
3539,5,1,frontend,13.5
2354,4,1,database,19.2
642,2,1,frontend,7.8
1828,4,1,deployment,4.1
3789,1,3,database,7.6
4430,3,3,testing,5.5
790,2,1,deployment,2.6
4404,5,1,database,22.2
2682,4,1,database,19.4
4071,1,1,deployment,1.5
4700,5,2,testing,7.6
76,5,2,deployment,4.3
2964,1,1,frontend,6.4
565,4,3,database,14.9
3312,1,1,backend,7.9
1565,4,2,testing,6.8
638,4,1,backend,15.6
1377,4,1,deployment,4.3
1630,1,1,deployment,2.1
3198,3,2,deployment,2.8
3577,2,3,testing,3.8
1292,5,1,frontend,13.4
3711,2,3,backend,8.1
1082,5,1,backend,17.7
2997,3,2,frontend,9.1
236,1,3,backend,6.4
281,1,2,frontend,5.8
459,3,2,database,14.0
1135,2,2,frontend,7.2
116,4,2,backend,13.2
2105,2,3,frontend,5.9
4811,3,2,frontend,8.3
1608,5,3,database,17.5
2874,3,2,database,14.2
774,3,1,database,15.5
1665,1,3,testing,2.8
3784,2,2,frontend,7.0
2282,3,3,testing,4.7
3580,4,2,backend,13.2
460,1,1,backend,8.1
2860,1,3,backend,6.3
3263,1,1,frontend,5.7
146,4,2,database,17.4
619,3,3,backend,9.8
2878,1,2,frontend,5.8
3354,3,3,deployment,2.9
1011,5,2,deployment,3.6
3841,1,2,deployment,1.4
90,3,3,database,13.2
1108,4,3,backend,12.5
1170,5,1,frontend,13.3
3498,4,3,testing,6.4
1309,3,1,deployment,3.0
2166,1,1,backend,7.6
3499,2,3,testing,4.6
1774,5,3,frontend,10.1
2537,5,1,testing,8.4
990,1,3,frontend,4.5
790,5,1,database,22.4
292,1,1,deployment,2.3
4850,3,3,frontend,7.8
1990,3,3,deployment,2.2
4416,4,2,backend,14.0
1649,5,3,deployment,3.3
1218,4,1,backend,15.3
2860,5,3,frontend,10.6
1741,1,3,database,7.6
3187,5,1,frontend,13.4
455,4,2,frontend,10.1
1599,4,2,deployment,3.3
3583,1,1,deployment,1.9
2248,2,3,deployment,1.7
3846,3,1,database,16.2
4108,4,2,testing,7.2
807,1,2,backend,7.5
1917,3,2,frontend,8.4
2389,3,3,database,12.9
4015,3,2,deployment,2.8
3017,2,2,deployment,2.3
2882,4,1,frontend,11.0
2383,2,1,frontend,8.3
39,3,2,deployment,2.4
4898,2,3,backend,8.0
3287,1,2,database,9.3
3620,1,2,testing,3.1
4730,1,3,frontend,4.7
3670,5,1,backend,17.5
71,1,1,backend,8.1
4414,5,1,backend,17.8
1999,1,3,frontend,4.6
3741,4,2,database,16.7
1417,1,1,deployment,2.2
1390,2,2,testing,4.8
3283,3,2,testing,5.5
3320,4,1,database,19.3
2010,4,3,backend,12.3
3981,5,2,frontend,11.8
1898,5,2,testing,7.9
522,1,3,deployment,1.5
3261,5,1,deployment,4.6
1800,1,2,testing,3.3
2373,1,2,deployment,1.5
3095,3,3,frontend,8.1
2563,5,1,backend,17.2
4764,3,2,frontend,8.2
3997,4,1,database,18.8
1719,5,3,frontend,10.8
1173,4,2,frontend,10.7
1010,4,2,testing,6.9
620,5,3,backend,14.0
1182,5,3,backend,14.3
3658,2,1,testing,5.1
69,2,1,database,13.2
157,5,1,frontend,13.6
4249,5,1,testing,8.4
4525,2,1,testing,5.7
591,1,1,database,9.7
825,4,2,testing,6.8
2816,4,1,deployment,3.7
3881,4,3,database,15.2
4971,2,2,testing,5.1
4845,4,2,backend,13.9
1903,3,2,backend,11.7
4795,2,3,backend,8.4
3010,3,1,frontend,9.8
613,2,1,frontend,7.9
3850,1,3,backend,6.1
4253,5,1,deployment,4.2
2377,1,3,testing,3.4
3674,4,3,deployment,2.6
178,3,1,deployment,3.1
4786,2,1,frontend,7.8
2747,4,2,deployment,3.9
4647,3,2,backend,11.2
2856,2,3,deployment,1.6
2980,4,2,testing,6.9
4890,2,2,deployment,2.3
4555,4,1,database,19.1
4031,5,3,backend,14.1
4619,2,1,testing,5.3
1654,1,3,database,8.1
3865,2,1,frontend,7.5
3001,4,2,database,17.0
3528,3,3,database,12.9
2409,4,1,frontend,11.0
1171,3,3,backend,10.4
2630,4,2,deployment,3.3
1823,3,2,deployment,2.8
80,4,3,testing,6.1
4456,1,1,testing,3.6
2886,5,3,database,17.5
2559,2,1,testing,5.6
1713,2,3,database,10.8
3105,1,2,deployment,1.6
3073,3,3,testing,4.9
1343,3,3,database,13.1
2584,1,2,testing,3.3
2432,4,1,frontend,11.8
1370,3,2,deployment,2.8
3824,1,3,backend,6.0
3030,3,2,testing,5.7
2502,1,3,frontend,4.7
2875,4,1,deployment,3.9
638,4,2,deployment,3.1
3762,3,1,testing,6.3
4997,5,2,frontend,12.1
16,2,2,frontend,7.5
502,2,2,backend,9.4
1305,3,3,testing,4.8
2257,1,2,testing,3.4
2035,4,3,testing,5.9
858,3,3,testing,4.8
2435,3,2,deployment,2.6
586,4,3,deployment,3.2
1662,2,1,backend,10.2
4941,1,3,frontend,4.8
3944,3,1,frontend,9.8
3824,3,1,backend,12.4
3551,1,1,backend,7.9
3436,4,3,testing,5.9
1551,2,3,backend,8.7
2779,1,3,deployment,1.6
3990,2,3,frontend,5.8
3915,5,3,deployment,3.5
1036,1,1,frontend,5.9
1686,1,3,testing,2.7
4551,1,3,frontend,4.6
1863,2,3,backend,8.1
2209,3,3,testing,5.3
2699,1,1,database,10.2
1884,2,1,backend,10.2
2809,3,2,deployment,3.2
2682,4,3,database,15.5
725,4,1,database,18.7
2728,4,1,deployment,4.3
3705,2,3,database,10.7
1375,3,3,database,12.6
1975,1,3,frontend,5.1
3433,3,1,testing,5.9
2670,2,3,testing,3.9
4797,1,2,database,9.0
4152,4,1,database,18.8
4789,2,2,frontend,7.4
2353,4,1,deployment,3.4
1306,5,2,backend,15.8
369,1,3,backend,6.3
3295,1,1,database,10.2
3870,2,1,deployment,2.1
4601,2,2,database,11.9
3985,1,3,backend,6.3
3110,5,1,testing,8.5
1507,5,1,testing,9.3
3857,5,1,frontend,12.8
2886,1,1,deployment,1.6
942,1,3,backend,6.2
4199,2,2,frontend,7.3
3919,3,3,deployment,2.7
4173,4,2,database,16.8
1604,2,2,testing,4.7
26,3,3,frontend,7.3
537,3,3,testing,5.3
4804,5,1,database,21.6
2903,1,2,testing,3.7
988,4,1,deployment,3.3
3252,5,1,frontend,13.5
1397,5,3,database,17.7
3088,1,3,testing,3.3
1535,1,1,deployment,1.9
4410,5,1,database,22.1
1960,4,1,frontend,11.0
233,3,1,frontend,10.0
4407,4,1,testing,7.1
4170,1,1,backend,8.1
2683,5,2,frontend,12.3
2784,4,1,backend,15.4
4953,3,1,backend,13.1
3285,5,1,deployment,4.0
1041,5,3,database,17.6
3242,4,1,database,19.5
1137,1,2,deployment,1.7
3670,3,1,database,16.4
3430,3,3,database,12.8
140,3,1,frontend,9.8
4651,1,3,database,7.5
3205,4,1,backend,15.0
4402,4,1,testing,7.7
2631,3,3,testing,5.3
4051,2,2,backend,9.3
704,1,3,backend,6.7
2410,4,1,backend,15.2
2815,5,3,database,18.0
2701,3,2,frontend,8.3
4482,4,2,frontend,10.1
2900,2,1,database,13.1
1443,3,2,testing,6.3
2229,1,1,database,10.1
1623,5,2,deployment,4.0
1181,4,2,database,16.9
4568,3,2,backend,11.4
1701,2,2,testing,4.6
3120,1,3,deployment,1.3
4465,2,3,frontend,6.5
2259,4,2,backend,14.0
2140,1,3,testing,2.9
4497,2,1,deployment,2.5
4578,2,1,testing,5.7
2028,5,1,backend,17.8
1081,3,1,testing,6.8
1999,4,2,database,17.0
306,4,3,deployment,2.8
2607,2,1,deployment,2.9
3839,5,3,backend,13.9
4542,4,3,backend,12.3
1013,2,1,database,12.7
4879,1,2,frontend,5.0
404,2,2,backend,9.9
3757,3,2,deployment,2.5
4592,1,3,testing,3.2
3842,2,3,deployment,2.2
4528,1,1,testing,4.4
1646,4,3,testing,6.4
2617,2,2,testing,5.0
4339,2,3,database,10.4
4228,2,3,database,10.1
3755,1,2,backend,6.7
2663,1,3,backend,6.3
3889,5,2,backend,15.4
3393,4,1,deployment,4.0
3872,1,2,deployment,1.4
1963,4,2,database,17.2
640,3,3,backend,10.2
2952,2,2,backend,9.7
4062,4,1,backend,15.6
2793,4,3,backend,11.9
16,2,3,deployment,2.1
1178,2,1,deployment,2.1
2618,2,3,frontend,5.8
4554,1,2,frontend,5.2
2216,1,3,database,8.3
4178,1,2,backend,7.5
4799,5,2,frontend,12.2
2617,2,2,testing,4.8
177,5,1,backend,18.0
2229,1,3,testing,2.8
2244,1,2,testing,3.7
4715,1,1,testing,4.4
1361,4,1,frontend,11.5
4537,1,1,frontend,6.3
2105,1,2,backend,7.7
